,old_request_domains,new_request_domains
107,de.tynt.com,de.tynt.com
108,ib.adnxs.com,ib.adnxs.com
109,ib.adnxs.com,ib.adnxs.com
110,www.d2pass.com,login.d2pass.com
111,login.d2pass.com,login.d2pass.com
112,secure-assets.rubiconproject.com,eus.rubiconproject.com
113,ssum-sec.casalemedia.com,ssum-sec.casalemedia.com
114,secure.adnxs.com,secure.adnxs.com
115,match.adsrvr.org,match.adsrvr.org
116,sync.search.spotxchange.com,sync.search.spotxchange.com
117,sync.search.spotxchange.com,sync.search.spotxchange.com
118,ups.analytics.yahoo.com,ups.analytics.yahoo.com
119,b1sync.zemanta.com,s.seedtag.com
120,ssc-cms.33across.com,de.tynt.com
121,sync.smartadserver.com,sync.smartadserver.com
122,ad.360yield.com,ad.360yield.com
123,secure.adnxs.com,s.seedtag.com
124,ssum-sec.casalemedia.com,s.seedtag.com
125,de.tynt.com,hde.tynt.com
126,sync.richaudience.com,sync.richaudience.com
127,sync.richaudience.com,sync.richaudience.com
128,secure-assets.rubiconproject.com,eus.rubiconproject.com
129,secure.adnxs.com,secure.adnxs.com
130,secure.adnxs.com,secure.adnxs.com
131,match.adsrvr.org,match.adsrvr.org
132,sync.search.spotxchange.com,sync.search.spotxchange.com
133,b1sync.zemanta.com,visitor-usa02.omnitagjs.com
134,ps.eyeota.net,ps.eyeota.net
135,ib.adnxs.com,ib.adnxs.com
